Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,P18206,-0.07678127,11.744264,6.955569,3,0.000142572,0.3505574,0.5658688
HUMAN,P18433,-0.23100376,7.824398,9.631789,3,0.0016949152,0.046993084,0.18542688
HUMAN,P18583,-0.07711792,11.518134,7.6373234,3,0.000142572,0.39091697,0.5840759
HUMAN,P18615,-0.11337662,10.466466,9.703875,3,0.000142572,0.1982709,0.48640767
HUMAN,P18621,-0.13576221,11.760607,11.799453,3,0.000142572,0.29489625,0.54199165
HUMAN,P18669,-0.07368183,12.755028,6.9034953,3,0.000142572,0.34682465,0.5646827
HUMAN,P18754,-0.09522629,11.813279,8.032186,3,0.000142572,0.2748054,0.5311087
HUMAN,P18858,-0.07585335,10.146142,9.833714,3,0.000142572,0.48611796,0.6414276
HUMAN,P18859,-0.08634663,11.432161,7.8859224,3,0.000142572,0.2756678,0.5311087
HUMAN,P18887,-0.095191956,10.072956,14.897873,3,0.000142572,0.47506925,0.63411915
HUMAN,P19174,-0.25650597,9.687991,11.930371,3,0.000142572,0.0471213,0.18571652
HUMAN,P19338,-0.06470966,13.5169,5.4104047,3,0.000142572,0.32953456,0.5585225
HUMAN,P19367,-0.1208601,10.352339,8.372462,3,0.000142572,0.24645914,0.51906836
HUMAN,P19387,-0.14656258,9.684014,8.546751,3,0.000142572,0.14785117,0.425455
HUMAN,P19388,-0.10485077,10.951189,14.442436,3,0.000142572,0.4320904,0.60760355
HUMAN,P19404,0.01635456,10.111867,10.116125,3,0.000142572,0.8681061,0.9116813
HUMAN,P19447,-0.13494778,9.474443,17.089409,3,0.000142572,0.42408,0.6037444
HUMAN,P19525,-0.1358118,10.062446,11.636544,3,0.000142572,0.26751256,0.52963835
HUMAN,P19544,-0.062215805,8.1558895,9.495828,3,0.0027351647,0.5117966,0.65807045
HUMAN,P19623,-0.08207035,11.838877,7.401039,3,0.000142572,0.33344302,0.55914974
HUMAN,P19784,-0.13879395,9.658411,15.175039,3,0.000142572,0.3827433,0.58189845
HUMAN,P19838,-0.114097595,8.566374,7.245138,3,0.000142572,0.18845324,0.4760924
HUMAN,P20020,-0.13331509,9.252111,12.990896,3,0.000142572,0.29290512,0.5417323
HUMAN,P20042,-0.046383858,11.655326,7.7553306,3,0.000142572,0.597134,0.71509963
HUMAN,P20073,-0.040592194,10.796552,7.2280297,3,0.000142572,0.6035382,0.7195715
HUMAN,P20226,-0.8591633,7.7344747,20.132093,3,0.000142572,0.008645452,0.038218036
HUMAN,P20248,-0.06926727,9.381878,15.41375,3,0.000142572,0.69920194,0.7878508
HUMAN,P20290,-0.05730629,11.56072,10.691344,3,0.000142572,0.64143556,0.7465046
HUMAN,P20338,-0.21990585,8.756447,20.76708,3,0.000142572,0.23923832,0.51456064
HUMAN,P20339,-0.13486004,10.579705,5.6356497,3,0.000142572,0.034222562,0.1402964
HUMAN,P20340,-0.17287064,9.576102,6.419124,3,0.000142572,0.060561582,0.23189913
HUMAN,P20585,0.4290266,9.565067,22.212025,3,0.000142572,0.14737956,0.42523834
HUMAN,P20618,-0.07988739,11.3385315,7.758468,3,0.000142572,0.39507338,0.58612007
HUMAN,P20645,-0.13310337,9.16882,6.019675,3,0.000142572,0.079305656,0.28776625
HUMAN,P20674,-0.11442852,11.966794,4.1550846,3,0.000142572,0.030972496,0.12887941
HUMAN,P20700,-0.059706688,12.3855095,7.1775155,3,0.000142572,0.4501944,0.6183966
HUMAN,P20810,-0.07452297,10.274168,11.037183,3,0.000142572,0.46170524,0.62476254
HUMAN,P20839,-0.09322739,10.023923,10.082431,3,0.000142572,0.38928488,0.5837451
HUMAN,P21127,-0.054745674,10.989819,7.3222704,3,0.000142572,0.51314133,0.6592485
HUMAN,P21281,-0.08575153,10.473352,8.105746,3,0.000142572,0.38587788,0.5834106
HUMAN,P21283,-0.11879444,10.070959,15.124547,3,0.000142572,0.38030502,0.5816142
HUMAN,P21291,0.080319405,9.731381,4.497859,3,0.000142572,0.09635155,0.32997698
HUMAN,P21333,-0.088332176,11.472883,7.303725,3,0.000142572,0.32436952,0.55651546
HUMAN,P21359,-0.053930283,8.644007,14.070253,3,0.000142572,0.6698364,0.76673293
HUMAN,P21399,-0.11235142,11.1694765,10.291973,3,0.000142572,0.30147973,0.5445209
HUMAN,P21675,-0.20207024,8.113176,23.72211,3,0.000142572,0.40850708,0.5944758
HUMAN,P21796,-0.11920643,11.521503,7.268283,3,0.000142572,0.16021031,0.4452247
HUMAN,P21912,-0.077521324,10.5013895,8.244091,3,0.000142572,0.38107383,0.58189845
HUMAN,P21953,-0.06867981,8.890801,28.535202,3,0.00025059516,0.79511636,0.8590977
HUMAN,P21964,-0.19717407,10.883331,11.715449,3,0.000142572,0.17362899,0.45959285
HUMAN,P21980,-0.06374073,11.102435,8.122559,3,0.000142572,0.4644729,0.62656045
HUMAN,P22033,-0.19088459,10.18824,13.725695,3,0.000142572,0.17169362,0.45888978
HUMAN,P22059,-0.07765007,9.69068,7.3492556,3,0.000142572,0.29082173,0.540592
HUMAN,P22061,-0.099178314,12.645744,6.9401393,3,0.000142572,0.22176929,0.5049836
HUMAN,P22087,-0.21374512,12.759288,21.201727,3,0.000142572,0.2815492,0.5345572
HUMAN,P22102,-0.10203552,13.073694,9.292206,3,0.000142572,0.32182547,0.55444163
HUMAN,P22234,-0.06277943,12.099487,6.5729375,3,0.000142572,0.413385,0.5967944
HUMAN,P22307,-0.11441803,10.130253,9.880576,3,0.000142572,0.29268718,0.54165787
HUMAN,P22314,-0.16634083,11.221434,9.902801,3,0.000142572,0.16782032,0.4544792
HUMAN,P22392,-0.088225365,11.984101,8.59615,3,0.000142572,0.3629264,0.5731604
HUMAN,P22415,-0.11417389,9.404842,16.711945,3,0.00026928773,0.51434946,0.6596846
HUMAN,P22570,-0.09399414,10.115076,10.098152,3,0.000142572,0.4366909,0.6110386
HUMAN,P22626,-0.06719494,15.169118,4.558544,3,0.000142572,0.2296822,0.5106779
HUMAN,P22670,-0.11684799,9.731455,16.633385,3,0.000142572,0.44134966,0.6130128
HUMAN,P22681,-0.16998196,9.839257,12.828014,3,0.000142572,0.20340112,0.49086827
HUMAN,P22695,-0.09251785,10.84505,11.400266,3,0.000142572,0.4614828,0.6246967
HUMAN,P22830,-0.1367855,10.146229,10.356863,3,0.000142572,0.227932,0.5092027
HUMAN,P23193,-0.0879097,12.122795,6.3345046,3,0.000142572,0.21311353,0.49842408
HUMAN,P23246,-0.07339859,13.172032,6.733747,3,0.000142572,0.3666439,0.5744182
HUMAN,P23258,-0.06847,9.684136,8.318768,3,0.000142572,0.47911263,0.63631165
HUMAN,P23284,-0.10481453,12.398381,4.8193245,3,0.000142572,0.08962205,0.31394926
HUMAN,P23327,-0.4519806,12.21544,15.163983,3,0.000142572,0.019774951,0.0844766
