Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,O43290,-0.021278381,10.347504,10.593547,3,0.000142572,0.8470682,0.99997884
HUMAN,O43314,-0.045689583,8.800369,8.005017,3,0.000142572,0.5578416,0.99997884
HUMAN,O43318,-0.08996487,8.80379,5.1703134,3,0.000142572,0.10021883,0.3611228
HUMAN,O43324,-0.083745,10.429813,13.156055,3,0.000142572,0.5748082,0.99997884
HUMAN,O43353,-0.11203289,8.153319,21.992958,3,0.00026277755,0.62337244,0.99997884
HUMAN,O43379,-0.062354088,10.439303,14.71263,3,0.000142572,0.61982125,0.99997884
HUMAN,O43390,-0.036640167,12.865729,6.2451468,3,0.000142572,0.61012316,0.99997884
HUMAN,O43395,0.013323784,9.500021,7.3119864,3,0.000142572,0.86722606,0.99997884
HUMAN,O43396,-0.0006465912,10.787949,8.453558,3,0.000142572,0.994096,0.99997884
HUMAN,O43399,-0.04970932,10.665468,6.7707653,3,0.000142572,0.52462995,0.99997884
HUMAN,O43402,-0.0063142776,10.133954,7.826883,3,0.000142572,0.93996334,0.99997884
HUMAN,O43414,-0.017443657,9.695095,14.388174,3,0.000142572,0.90297765,0.99997884
HUMAN,O43422,0.08538914,8.742251,14.677206,3,0.000142572,0.55434567,0.99997884
HUMAN,O43432,-0.3047309,6.095251,17.326414,3,0.000142572,0.13654143,0.46530557
HUMAN,O43447,-0.028897285,11.466275,7.9912677,3,0.000142572,0.7311369,0.99997884
HUMAN,O43463,0.013792038,9.089767,12.805446,3,0.000142572,0.9040632,0.99997884
HUMAN,O43464,-0.11396313,10.651853,10.128628,3,0.000142572,0.23248611,0.71503574
HUMAN,O43482,-0.2922821,8.205063,29.303392,3,0.000142572,0.22571853,0.6978716
HUMAN,O43488,0.031085014,10.156013,8.644835,3,0.000142572,0.7201996,0.99997884
HUMAN,O43491,0.008865356,10.543558,9.746964,3,0.000142572,0.93444145,0.99997884
HUMAN,O43493,-0.27778912,6.3502254,31.1259,3,0.000142572,0.39980814,0.993964
HUMAN,O43502,0.17488337,6.797761,23.742622,3,0.000142572,0.4468786,0.99997884
HUMAN,O43504,0.014325142,9.211089,14.319929,3,0.000142572,0.92339915,0.99997884
HUMAN,O43513,0.14480305,8.427729,12.19758,3,0.000142572,0.32457042,0.88691235
HUMAN,O43583,0.078801155,10.888546,15.494958,3,0.000142572,0.5433036,0.99997884
HUMAN,O43592,-0.02393341,9.589141,7.5878153,3,0.000142572,0.76269096,0.99997884
HUMAN,O43598,0.037618637,10.451175,18.81395,3,0.000142572,0.8611067,0.99997884
HUMAN,O43615,-0.0007534027,10.732464,7.6777105,3,0.000142572,0.9927822,0.99997884
HUMAN,O43617,-0.031676292,10.428562,9.105521,3,0.000142572,0.71859103,0.99997884
HUMAN,O43633,-0.12203884,11.072022,17.955006,3,0.000142572,0.47637573,0.99997884
HUMAN,O43639,-0.017986298,8.985466,5.93832,3,0.000142572,0.7717032,0.99997884
HUMAN,O43660,-0.08350086,9.498255,16.237722,3,0.000142572,0.6403931,0.99997884
HUMAN,O43663,0.034905434,9.6165285,14.680779,3,0.000142572,0.82680994,0.99997884
HUMAN,O43665,0.062039852,7.738259,10.035008,3,0.000142572,0.5056639,0.99997884
HUMAN,O43670,0.029157639,11.233513,8.103996,3,0.000142572,0.677332,0.99997884
HUMAN,O43674,0.055244446,10.596552,5.892867,3,0.000142572,0.41073182,0.99997884
HUMAN,O43676,0.054023743,8.30502,11.5252285,3,0.000142572,0.61841625,0.99997884
HUMAN,O43678,0.08565235,10.251439,8.715686,3,0.000142572,0.2948613,0.8362193
HUMAN,O43681,0.055156708,10.696332,13.259191,3,0.000142572,0.70294964,0.99997884
HUMAN,O43683,0.051983356,7.6910276,8.857334,3,0.000142572,0.54981214,0.99997884
HUMAN,O43684,0.01203537,10.687122,7.627241,3,0.000142572,0.86889,0.99997884
HUMAN,O43707,-0.019339561,12.77151,8.7868805,3,0.000142572,0.8426942,0.99997884
HUMAN,O43708,-0.011579514,8.586401,9.7239895,3,0.000142572,0.90012103,0.99997884
HUMAN,O43709,-0.043723106,8.77721,10.603618,3,0.000142572,0.68792814,0.99997884
HUMAN,O43715,-0.27143955,7.6591578,17.54302,3,0.000142572,0.14563091,0.49050242
HUMAN,O43716,0.036396027,9.441712,12.434532,3,0.000142572,0.7567628,0.99997884
HUMAN,O43719,-0.020932198,10.11058,8.8111725,3,0.000142572,0.77161044,0.99997884
HUMAN,O43747,0.030339241,10.186207,7.7209797,3,0.000142572,0.70964074,0.99997884
HUMAN,O43752,0.18978405,10.527107,9.732569,3,0.000142572,0.09073224,0.33080953
HUMAN,O43760,-0.087408066,9.57724,14.146152,3,0.000142572,0.55089545,0.99997884
HUMAN,O43765,-0.041083336,10.490368,5.8624024,3,0.000142572,0.5511508,0.99997884
HUMAN,O43766,0.07047081,8.579211,22.709051,3,0.000142572,0.7468599,0.99997884
HUMAN,O43768,-0.074463844,10.289264,7.6325693,3,0.000142572,0.32017684,0.8801121
HUMAN,O43772,0.13891792,8.916115,17.249811,3,0.000142572,0.36775333,0.9533581
HUMAN,O43776,-0.012885094,11.226721,6.965443,3,0.000142572,0.85842866,0.99997884
