Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,Q9Y696,-0.29780006,24.553753,2.880293,3,8.336807e-5,0.00040674032,0.0010778231
HUMAN,Q9Y697,-0.35386848,23.885208,3.695914,3,8.336807e-5,0.00023215167,0.00071735773
HUMAN,Q9Y6A1,-0.78502655,20.298649,8.205633,3,8.336807e-5,0.0008025776,0.001806585
HUMAN,Q9Y6A4,-0.3177719,22.226948,2.4831557,3,8.336807e-5,0.00014086929,0.00051205297
HUMAN,Q9Y6A5,-0.18053246,22.052088,5.394423,3,8.336807e-5,0.019952673,0.02733347
HUMAN,Q9Y6B6,-0.3382969,23.305895,20.056055,3,8.336807e-5,0.06944665,0.08508566
HUMAN,Q9Y6B7,-0.18048668,21.82624,5.488828,3,8.336807e-5,0.022146337,0.029996034
HUMAN,Q9Y6C9,-0.53066254,25.457146,2.3618066,3,8.336807e-5,1.5988026e-5,0.00013887219
HUMAN,Q9Y6D0,-0.13106918,18.080849,14.470519,3,0.0012474317,0.40125006,0.43324
HUMAN,Q9Y6D5,-0.24615669,22.356949,3.241112,3,8.336807e-5,0.0021704426,0.0040159724
HUMAN,Q9Y6D6,-0.26406288,21.864168,3.5386977,3,8.336807e-5,0.0016949498,0.003264204
HUMAN,Q9Y6D9,-0.24188232,22.45035,2.8049417,3,8.336807e-5,0.0010445804,0.00222238
HUMAN,Q9Y6E0,-0.17695999,22.658035,1.8693707,3,8.336807e-5,0.0004786583,0.0012193975
HUMAN,Q9Y6E2,-0.3055191,26.893496,2.816157,3,8.336807e-5,0.00024274531,0.0007391836
HUMAN,Q9Y6G3,-0.2506981,23.727463,7.9973984,3,8.336807e-5,0.023553664,0.03173496
HUMAN,Q9Y6G5,-0.10671997,21.738693,3.3042016,3,8.336807e-5,0.03865708,0.049710467
HUMAN,Q9Y6G9,-0.24059868,23.280203,1.0182766,3,8.336807e-5,8.173174e-6,9.977751e-5
HUMAN,Q9Y6H1,0.123132706,22.63762,9.1711035,3,8.336807e-5,0.19149373,0.21759866
HUMAN,Q9Y6I3,-0.20517921,21.690014,2.0780602,3,8.336807e-5,0.0003434559,0.0009534554
HUMAN,Q9Y6I4,-0.29145622,22.2428,1.649025,3,8.336807e-5,2.959823e-5,0.000194884
HUMAN,Q9Y6I9,-0.29986,20.93184,6.5658603,3,8.336807e-5,0.0042057983,0.007002251
HUMAN,Q9Y6J0,-0.075712204,18.928745,7.1522226,3,8.336807e-5,0.3156895,0.3467739
HUMAN,Q9Y6J9,-0.32831192,21.521149,4.259765,3,8.336807e-5,0.001848723,0.0035114863
HUMAN,Q9Y6K0,-0.25440216,23.159628,4.229341,3,8.336807e-5,0.0030347435,0.005329076
HUMAN,Q9Y6K1,-0.32011604,23.941418,8.798422,3,8.336807e-5,0.01374851,0.019573016
HUMAN,Q9Y6K5,-0.44374847,22.583885,2.021779,3,8.336807e-5,2.7642698e-5,0.0001887983
HUMAN,Q9Y6K9,-0.18067741,21.552921,4.200043,3,8.336807e-5,0.015214791,0.021427965
HUMAN,Q9Y6M0,-0.30714798,22.694307,3.510094,3,8.336807e-5,0.0011480883,0.002386167
HUMAN,Q9Y6M1,0.13406181,23.753813,25.489452,3,0.00016118633,0.6123487,0.6402035
HUMAN,Q9Y6M4,-0.39030266,21.052977,3.3393948,3,8.336807e-5,0.0003024669,0.0008669679
HUMAN,Q9Y6M5,-0.17058372,23.516039,2.7188137,3,8.336807e-5,0.0024977352,0.004520617
HUMAN,Q9Y6M7,-0.24893951,20.430973,5.0251675,3,8.336807e-5,0.006824111,0.010607143
